sample,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
187,1313.458,1302.865,1558.467,1400.34,1448.927,1457.177,1426.941,1466.087
188,1529.621,1487.963,1359.053,1390.942,1511.488,1400.324,1308.447,1333.983
189,1358.984,1333.562,1369.807,1385.33,1487.527,1450.751,1251.049,1299.895
190,1483.938,1573.782,1315.224,1188.121,1540.169,1496.288,1202.679,1277.07
191,1506.497,1517.407,1248.893,1235.112,1455.497,1428.182,1196.784,1276.268
192,1425.207,1444.285,1194.207,1229.528,1415.875,1440.422,1161.993,1254.938
193,1412.193,1373.82,1354.982,1352.646,1470.549,1433.908,1175.827,1204.797
194,1372.142,1427.117,1352.388,1364.994,1547.362,1335.149,1195.105,1261.645
195,1456.203,1499.792,1260.929,1208.884,1352.429,1407.128,1143.121,1198.784
196,1476.446,1467.724,1311.475,1274.101,1482.917,1446.899,1205.692,1255.154
